OriginalPaperDOI,test
10.1515/amm-2016-0159,1
10.1515/hsz-2015-0279,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
10.1515/opag-2016-0021,1
10.1515/htmp-2016-0094,1
10.2478/arsm-2013-0003,1
10.2478/v10307-012-0010-1,1
10.2478/v10307-012-0008-8,1
10.2478/v10307-012-0003-0,1
10.2478/v10307-012-0017-7,1
10.1515/genst-2017-0011,1
unavailable,1
10.1515/amma-2016-0031,1
10.2478/ausm-2014-0021,1
10.1515/afpuc-2016-0016,1
unavailable,1
unavailable,1
10.2147/IJWH.S29362,1
10.3126/nje.v6i4.17257,1
10.1016/j.ijfoodmicro.2012.03.027,1
10.1016/j.fm.2012.02.016,1
10.1186/2049-1891-3-26,1
10.1007/s11746-011-1924-7,1
10.1016/j.renene.2011.06.010,1
unavailable,1
unavailable,1
10.1080/01900691003703761,1
unavailable,1
10.2307/23047036,1
10.1016/j.patrec.2011.10.020,1
10.1002/jbmr.1872,1
10.3844/ajeassp.2009.1.7,1
10.1002/2016JD026070,1
10.1016/j.tsf.2010.12.121,1
10.1016/j.optlastec.2012.08.036,1
10.1016/j.system.2012.10.017,1
10.1002/jctb.3754,1
10.1016/j.aml.2012.06.018,1
10.1016/j.aml.2010.08.006,1
10.4236/oalib.1103937,1
10.1177/0093650214554613,1
10.1016/j.jmr.2012.11.030,1
10.1088/1748-0221/12/11/C11015,1
10.1007/s00415-015-7958-2,1
10.1152/ajpendo.00272.2013,1
10.1097/01.PHM.0000122877.28631.23,1
10.1097/00002060-199909000-00008,1
10.1016/j.foodchem.2010.12.022,1
10.4103/0970-4388.73790,1
10.1002/vnl.20301,1
10.1016/j.atmosres.2012.01.007,1
10.1292/jvms.11-0580e,1
10.1038/srep00537,1
10.1038/srep00280,1
10.1038/srep00537,1
10.1016/j.ijscr.2011.05.008,1
10.1186/2251-6581-11-7,1
10.1002/ppap.201100084,1
10.1038/nphoton.2010.2,1
10.1371/journal.pone.0004168,1
10.1039/C2RA21452K,1
10.1037/1089-2699.7.1.26,1
10.1016/j.neulet.2012.06.057,1
10.1007/s10691-012-9194-9,1
unavailable,1
unavailable,1
10.1080/03235408.2011.587987,1
10.1007/s11160-013-9306-x,1
10.1007/s12686-010-9309-z,1
10.1086/662139,1
10.4236/apm.2017.71004,1
10.1016/j.applthermaleng.2003.08.017,1
10.1136/bmj.2.5914.335-a,1
10.1038/nmat4795,1
10.6092/issn.1973-9494/4188,1
10.1371/journal.pone.0146809,1
unavailable,1
10.1038/cdd.2010.27,1
10.1016/j.apcata.2011.05.016,1
unavailable,1
10.1016/j.jesp.2009.05.012,1
10.1016/j.jesp.2010.12.013,1
10.1002/crq.260,1
10.1016/j.dam.2011.08.011,1
10.1016/j.jtbi.2012.01.003,1
10.1016/j.precisioneng.2016.08.002,1
10.1111/jgh.12555,1
10.1142/S0218301316500725,1
10.1080/19475705.2016.1181677,1
10.1080/19475705.2016.1181677,1
10.3109/19401736.2013.796520,1
10.1097/CCM.0000000000002689,1
10.1074/jbc.M500417200,1
10.1111/j.1600-6143.2008.02275.x,1
10.1143/PTP.126.177,1
10.1007/s10509-010-0431-x,1
10.1209/0295-5075/87/69002,1
10.1016/j.physletb.2010.02.054,1
10.1111/j.1751-553X.2012.01411.x,1
10.1016/j.camwa.2009.07.048,1
10.1038/ijir.2010.23,1
10.1038/sj.ijir.3901350,1
10.1038/ijir.2009.57,1
10.1186/2045-7022-1-9,1
unavailable,1
10.1016/j.rser.2011.05.014,1
10.1016/j.clindermatol.2004.09.008,1
10.1310/hct.2003.4.3.002,1
10.1111/j.1365-2141.2007.06798.x,1
10.1074/jbc.M608307200,1
10.3157/0013-872X(2007)118[512:ANSOPB]2.0.CO;2,1
10.15562/bmj.v2i2.39,1
10.5430/afr.v6n1p18,1
10.1177/1708538115609454,1
10.1080/14397595.2017.1304857,1
10.1007/s12178-010-9066-3,1
10.1007/s12178-009-9047-6,1
10.1007/s00198-011-1865-x,1
10.1007/s00429-016-1324-8,1
10.1111/j.1469-7580.2010.01321.x,1
10.1177/1470320311417274,1
10.1016/j.biochi.2015.10.021,1
10.3109/13697137.2013.850479,1
10.3109/13697137.2013.861815,1
10.1093/qjmed/hcw104,1
unavailable,1
unavailable,1
unavailable,1
10.1590/s0004-2803.2017v54n1-15,1
10.1016/j.chb.2014.10.021,1
10.14715/cmb/2017.63.11.16,1
10.1249/MSS.0000000000000769,1
10.1016/S0195-6663(03)00120-X,1
10.1007/s10867-006-9032-x,1
unavailable,1
10.1007/s12264-009-1027-8,1
10.1007/s11832-009-0202-9,1
10.1007/s11832-011-0325-7,1
10.1007/s12262-012-0618-1,1
10.1007/s12262-012-0642-1,1
10.1007/s10616-012-9475-9,1
10.1155/2012/236409,1
10.1155/2014/975494,1
10.5402/2012/132842,1
10.1155/2013/978031,1
10.1007/s12639-015-0698-5,1
10.1007/s00280-015-2802-z,1
10.1007/s12639-015-0703-z,1
10.21010/ajid.v10i2.2,1
10.5402/2013/362571,1
10.1155/S1064744999000046,1
10.7860/JCDR/2015/10240.5463,1
10.4103/0970-0218.173502,1
10.4103/0970-0218.173503,1
10.4103/0970-0218.173494,1
10.1209/0295-5075/96/37003,1
10.1007/s11012-009-9259-2,1
10.1007/s11012-008-9189-4,1
10.2203/dose-response.10-001.Martinez-Sanchez,1
10.1007/s13199-011-0106-6,1
10.2491/jjsth.16.412,1
10.2116/bunsekikagaku.52.1187,1
10.2320/matertrans.46.798,1
unavailable,1
unavailable,1
10.1002/lite.201000056,1
10.1007/s11746-010-1740-5,1
10.1007/s11746-011-1789-9,1
10.1007/s40615-016-0330-0,1
10.1007/s11760-017-1106-7,1
10.1007/s12011-017-0951-0,1
10.1007/s13762-013-0483-x,1
10.1111/jcpt.12653,1
10.1097/MBC.0000000000000318,1
10.1126/science.141.3584.919,1
10.1126/science.aad8828,1
10.1136/bjsm.2006.029504,1
unavailable,1
10.1017/jpa.2017.92,1
10.1126/science.1070563,1
10.1126/science.254.5033.826,1
10.1126/science.243.4894.1047,1
10.1126/science.1071776,1
10.1126/science.1179052,1
10.1126/science.1179052,1
10.6061/clinics/2017(05)07,1
10.1002/cncr.29381,1
10.1002/asna.201613216,1
10.1530/REP-15-0381,1
10.1016/j.ultsonch.2013.12.006,1
10.1007/s13204-015-0404-z,1
10.3390/molecules201219819,1
unavailable,1
10.1111/j.1529-8817.2011.01041.x,1
10.1002/mds.21581,1
10.1016/j.exer.2010.03.008,1
10.1016/j.exer.2011.07.014,1
10.1080/14786419.2017.1300800,1
unavailable,1
10.1096/fj.02-0453fje,1
unavailable,1
10.1016/j.ijhydene.2016.09.189,1
10.1016/j.ijhydene.2016.08.073,1
10.1016/j.ijhydene.2016.06.178,1
10.3892/mmr.2013.1280,1
10.1016/j.ijhydene.2016.07.273,1
10.1016/j.ejenta.2013.04.003,1
10.1016/j.ijhydene.2016.07.026,1
10.3126/hj.v6i0.18348,1
10.1007/s00280-004-0907-x,1
10.1111/j.1744-6163.2010.00262.x,1
10.1111/j.1439-0434.2010.01733.x,1
10.1016/j.jhevol.2017.09.005,1
10.1088/0031-8949/82/02/025701,1
unavailable,1
10.4103/0972-9941.59306,1
10.1016/j.nonrwa.2010.11.008,1
10.1016/j.sbspro.2011.04.220,1
10.3892/ol.2017.6777,1
10.1371/journal.pone.0144268,1
unavailable,1
10.1016/j.mcm.2011.02.029,1
10.1016/j.amc.2011.02.038,1
10.1016/j.physleta.2008.11.003,1
10.1016/j.physleta.2008.07.090,1
10.1016/j.ijom.2003.09.015,1
10.1016/j.ijom.2003.12.002,1
10.1016/j.ijom.2003.09.011,1
10.1016/j.jmatprotec.2004.04.136,1
10.1016/j.jpcs.2009.08.012,1
10.1016/j.inoche.2009.08.033,1
10.1016/j.apsusc.2009.08.045,1
10.1002/ijc.24299,1
unavailable,1
unavailable,1
10.1016/j.theochem.2008.11.007,1
10.1016/j.theochem.2007.03.010,1
10.1074/jbc.M111.255711,1
10.1186/s13045-016-0288-8,1
10.1016/j.aml.2011.01.019,1
10.1016/j.aml.2010.05.003,1
10.3342/kjorl-hns.2010.53.12.737,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
unavailable,1
10.3342/kjorl-hns.2010.53.8.470,1
10.1073/pnas.1516945113,1
10.1021/acs.orglett.7b02473,1
10.1016/j.anbehav.2009.11.027,1
10.2147/OTT.S109746,1
10.1111/pan.12656,1
unavailable,1
10.3928/01477447-20100826-04,1
unavailable,1
unavailable,1
10.14740/wjon1011w,1
10.1093/jnci/djq427,1
10.3390/rs2010115,1
10.1371/journal.pone.0015773,1
10.1371/journal.pone.0003856,1
10.1378/chest.134.4_MeetingAbstracts.p158001,1
10.1002/bies.20380,1
10.1063/1.2041833,1
10.1016/j.brat.2010.10.009,1
unavailable,1
10.1046/j.1471-4159.2003.01550.x,1
10.1200/JCO.2007.11.0593,1
10.1126/science.1190532,1
10.3389/fphys.2017.00480,1
10.1371/journal.pone.0113398,1
10.1186/1752-1947-2-255,1
10.1182/blood-2008-01-133710,1
10.1016/j.clsr.2009.11.004,1
10.1002/hep.23316,1
10.1158/0008-5472.CAN-04-4194,1
10.3988/jcn.2005.1.2.121,1
10.1080/15348458.2012.686372,1
10.1002/jgt.22177,1
10.1002/jsfa.8374,1
10.1016/j.infrared.2014.03.011,1
10.1111/papr.12567,1
10.3892/mmr.2017.8146,1
10.1016/j.canlet.2013.10.022,1
10.1016/j.canlet.2013.10.022,1
10.1093/brimed/ldx038,1
10.1016/j.cbi.2004.05.002,1
10.1007/s11012-014-9980-3,1
10.1007/s11012-014-9972-3,1
10.1007/s11012-014-9971-4,1
10.1007/s11012-014-9970-5,1
10.1007/s11012-014-9962-5,1
10.1007/s11012-014-9969-y,1
10.1007/s11012-014-9954-5,1
10.1007/s11012-013-9865-x,1
10.1007/s11012-014-9921-1,1
10.1007/s11012-014-9905-1,1
10.1007/s11012-014-9983-0,1
10.1099/mic.0.000369,1
10.1016/j.canlet.2012.01.013,1
10.1021/acschembio.5b00632,1
10.5696/2156-9614-7.14.30,1
10.1136/ip.2006.015115,1
10.2147/OTT.S79727,1
10.1016/j.orgel.2017.09.045,1
10.1016/j.bbrc.2017.09.036,1
10.1016/j.bbrc.2017.08.079,1
10.1093/fh/crn067,1
10.1093/imaman/dpw003,1
unavailable,1
10.1073/pnas.1012753108,1
10.1172/JCI71951,1
10.7759/cureus.953,1
10.1105/tpc.111.088815,1
unavailable,1
unavailable,1
10.1134/S1029959912010043,1
10.1073/pnas.1613440113,1
10.1007/s12046-017-0640-x,1
10.1039/c7fo01513e,1
10.1002/1521-4095(20020219)14:4323::AID-ADMA3233.0.CO;2-5,1
10.1002/2017TC004516,1
10.1061/(ASCE)HE.1943-5584.0001066,1
10.1038/sj.tpj.6500391,1
10.1111/PED.13380,1
10.4171/EMSS/4-2-3,1
10.1186/s40478-016-0393-5,1
10.1021/ma9012303,1
10.1016/j.nbd.2011.02.007,1
10.1021/acs.orglett.7b02161,1
10.1093/inthealth/ihx038,1
10.1016/j.urolonc.2012.05.009,1
10.1016/j.jpain.2013.07.001,1
10.1016/j.optcom.2013.07.046,1
10.1016/j.na.2013.07.007,1
10.1016/j.jflm.2013.09.016,1
10.1016/j.fuel.2013.06.003,1
10.1016/j.sbspro.2013.08.209,1
10.1016/j.jct.2013.08.001,1
10.1016/j.ijchv.2013.10.001,1
10.1016/j.conbuildmat.2013.08.053,1
10.1080/14751798.2014.948280,1
10.1080/10246029.2013.875049,1
10.1080/14702436.2013.845382,1
10.1080/17419166.2015.1135059,1
10.1080/1057610X.2013.850889,1
10.1016/j.cancergen.2015.02.005,1
10.3349/ymj.2008.49.1.119,1
10.3349/ymj.2009.50.2.189,1
10.1074/jbc.M112.398776,1
10.1074/jbc.M804051200,1
10.1016/j.ijhydene.2016.11.017,1
10.1016/j.ijhydene.2016.10.154,1
10.1016/j.ijhydene.2016.11.087,1
10.1016/j.ijhydene.2016.12.040,1
10.1016/j.ijhydene.2016.12.053,1
10.3109/1040841X.2016.1160867,1
10.1902/jop.2012.120396,1
10.1155/2013/369180,1
10.1155/2015/603529,1
10.1155/2014/540516,1
10.1155/2012/139045,1
10.1016/j.jep.2008.03.006,1
10.1016/j.cherd.2008.09.005,1
10.1016/j.radphyschem.2007.09.012,1
10.1016/j.theochem.2007.10.019,1
10.1016/j.clinthera.2009.04.014,1
10.1016/j.clinthera.2008.11.011,1
10.1016/j.clinthera.2009.10.012,1
10.1016/j.clinthera.2010.08.005,1
10.1016/j.clinthera.2008.02.018,1
10.1016/j.neuropharm.2008.08.030,1
10.1016/j.ijsolstr.2008.03.005,1
10.1016/j.jallcom.2013.06.192,1
10.1016/j.enconman.2014.02.055,1
10.1016/j.rser.2014.01.045,1
10.1016/j.sbspro.2014.02.037,1
10.1016/j.jct.2013.11.034,1
10.1016/j.jct.2013.05.016,1
10.1016/S1665-7063(14)70924-8,1
10.1016/S1995-7645(14)60139-5,1
10.1016/j.mexoft.2014.04.001,1
10.1016/S1995-7645(14)60039-0,1
10.1016/S1995-7645(14)60033-X,1
10.1016/j.indcrop.2013.11.023,1
10.1016/j.ceramint.2013.10.071,1
10.1016/j.coph.2014.05.009,1
10.1016/j.ejps.2013.08.031,1
10.1016/j.amc.2014.01.156,1
10.1016/j.jorganchem.2013.11.020,1
10.1016/j.mambio.2013.05.002,1
10.1016/j.protcy.2013.12.484,1
10.1016/j.protcy.2013.12.485,1
10.1016/j.sbspro.2014.01.1224,1
10.1016/j.tcs.2014.07.005,1
10.1016/j.seares.2014.04.007,1
